voice,command
go,a
go fast,a
go straight,a
go straight fast,a
go forward,a
go forward fast,a
move,a
go rapid ,a
go speed,a
rush forward,a
rush ,a
move fast,a
move straight,a
move straight fast,a
move forward,a
move forward fast,a
go quick,a
go straight quick,a
move quick,a
move straight quick,a
go forward quick,a
move forward quick,a
head straight fast,a
head straight quick,a
advance fast,a
advance quick,a
advance straight fast,a
advance straight quick,a
advance straight,a
go slow,b
go straight slow,b
go forward slow,b
move straight slow,b
move forward slow,b
move slow,b
move slowly,b
move forward slowly,b
move straight slowly,b
go forward slowly,b
go straight slowly,b
go slowly,b
adavnce slowly,b
advance slow,b
advance straight slowly,b
advance straight slow,b
head slowly,b
head straight slow,b
head slow,b
head straight slowly,b
go back,c
go back fast,c
move back,c
move back fast,c
move backward,c
move backward fast,c
go back quick,c
move back quick,c
go backward quick,c
move backward quick,c
go backward,c
come back,c
come back fast,c
come back quick,c
retire quick,c
retire fast,c
retire,c
reverse,c
take reverse quick,c
go back slow,d
move back slow,d
move backward slow,d
come back slow,d
go backward slow,d
come backward slow,d
come back slowly,d
come backward slowly,d
go back slowly,d
go backward slowly,d
take reverse slowly,d
take slow reverse,d
left,e
turn left,e
left course,e
left way,e
take left,e
move left,e
move leftwards,e
take rightwards,e
left path,e
leftside,e
right,f
turn right,f
take right,f
right path,f
right course,f
right way,f
move right,f
move rightwards,f
take rightwards,f
rightside,f
stop,g
break,g
off,g
handbrake,g
brake,g
turn off,g
pull down,g
park,g
shut down,g